,BCE_pretrained,IoU_pretrained,ROC-AUC_pretrained,Dice_pretrained
_exp1_10,2.914604330062866,0.0,0.3854270827454027,0.0
_exp1_11,2.730787420272827,0.0036578300629263394,0.6537565000115514,0.007286833779021819
_exp1_12,4.333107566833496,0.0,0.3542935002064297,0.0
_exp1_13,1.2587337374687195,0.003517961324001762,0.689805748618699,0.0070093370418131875
_exp1_14,1.141759729385376,0.0020094426448632676,0.6635297221479609,0.004009529416214221
_exp1_15,0.5333154201507568,0.007684404480122258,0.9654686715736892,0.015247470465374748
_exp1_16,0.6473131597042083,0.007130539189278624,0.8719220447426872,0.014156317409559365
_exp1_17,0.9553428828716278,0.0004077875959421384,0.6246029319091712,0.00081492388842
_exp1_18,0.6734992802143097,0.004178693170951033,0.8689652840968817,0.008322331763432927
_exp1_19,0.6699812829494476,0.007023648994108992,0.982717133262365,0.013948600130134093
_exp1_20,1.5074802041053772,0.008469750936251661,0.722188988544967,0.016795369559131596
_exp1_21,0.8648450911045075,0.016164218180835126,0.9079965548643492,0.03181177265763679
_exp1_22,2.1032070994377134,0.013357104081889537,0.7947384168737583,0.02633296505481445
_exp1_23,1.0797079145908355,0.012405185274720783,0.8391470121205822,0.024499173776042375
_exp1_24,0.5834956467151642,0.0126448251757115,0.9329237886243235,0.024968800946126895
_exp1_25,2.334153151512146,0.017101766073400727,0.8082920923074888,0.033602208608349574
