,BCE_noise,IoU_noise,ROC-AUC_noise,Dice_noise
_exp1_0,0.6951978027820587,0.0006060676205006503,0.6357964796806606,0.0012112809578134803
_exp1_1,0.7177907764911652,0.007202619799026623,0.8590106227496459,0.014300940307065437
_exp1_2,0.8242976188659668,0.010415468593902574,0.8800016465031992,0.02061232429647292
_exp1_3,0.9863424241542816,0.024759396789416178,0.957621493540962,0.04831827529529827
_exp1_4,1.8553386449813842,0.0139147642059075,0.7547872161368976,0.0274437920799331
_exp1_5,0.9992586255073548,0.015630598254019905,0.899222817676457,0.03077500570562846
_exp1_6,1.04787078499794,0.0014313789207146366,0.6141300620081714,0.0028578772066010887
_exp1_7,0.5730618417263031,0.0038799723386623913,0.95290420809461,0.0077295693556298905
_exp1_8,0.7698321282863617,0.0005711858068577789,0.629989972018684,0.00114165577051062
_exp1_9,2.7161116123199465,4.7830231067180934e-05,0.3948904490460985,9.564521266272101e-05
_exp1_10,2.032746684551239,0.00037193996385678036,0.4992121226173758,0.0007433667500839375
_exp1_11,2.596750259399414,0.0022190360694987273,0.5803560893562068,0.004426742304387725
_exp1_12,3.063502335548401,0.0004088758663689073,0.4383446697324295,0.0008173105842402544
_exp1_13,1.1111967384815216,0.004461701747930152,0.7196588735845658,0.008880731070741802
_exp1_14,1.1524689495563507,0.00029464615627182287,0.6019485355239995,0.0005890217799373232
_exp1_15,0.5755689918994904,0.006948062593360084,0.9801694084767718,0.01379942176025764
_exp1_16,0.7676504552364349,0.004092061883385569,0.7942885489671092,0.00815002219382335
_exp1_17,0.9009249031543731,0.000994960147966451,0.635499841712317,0.001987561819219966
_exp1_18,0.6907737731933594,0.004823516187588604,0.8644154428706126,0.009600098611787384
_exp1_19,0.5911510765552521,0.007801850478247778,0.9913791131075481,0.015481070079528165
_exp1_20,1.8587159991264344,0.001674111518484335,0.6048333845532669,0.003342082283725018
_exp1_21,0.7004831612110138,0.01454731027409395,0.9543076444336492,0.02867447704934551
_exp1_22,1.2412634491920471,0.018902303537692434,0.8685774474068984,0.037087502486430765
_exp1_23,1.3735721707344055,0.006983195584008711,0.7275108809904375,0.013868541394267722
_exp1_24,0.6489405691623688,0.009483164101694551,0.9175183792206211,0.018786849412145843
_exp1_25,2.08215708732605,0.014255840209214502,0.7517755350333182,0.02810604163221565
